day	hour	drug	outcome	value
1	1	hepatitis B immune globulin	Wrong drug administered	23
1	2	hepatitis B immune globulin	Vomiting	0
1	3	hepatitis B immune globulin	Vomiting	0
1	4	hepatitis B immune globulin	Drug exposure during pregnancy	0
1	5	hepatitis B immune globulin	Pain	0
1	6	hepatitis B immune globulin	Pain	0
1	7	hepatitis B immune globulin	Pulmonary embolism	0
1	8	hepatitis B immune globulin	Deep vein thrombosis	0
1	9	hepatitis B immune globulin	Anxiety	0
1	10	hepatitis B immune globulin	Emotional distress	0
2	1	Hepatitis B Surface Antigen Vaccine	Wrong drug administered	1
2	2	Hepatitis B Surface Antigen Vaccine	Vomiting	6
2	3	Hepatitis B Surface Antigen Vaccine	Vomiting	6
2	4	Hepatitis B Surface Antigen Vaccine	Drug exposure during pregnancy	4
2	5	Hepatitis B Surface Antigen Vaccine	Pain	4
2	6	Hepatitis B Surface Antigen Vaccine	Pain	4
2	7	Hepatitis B Surface Antigen Vaccine	Pulmonary embolism	1
2	8	Hepatitis B Surface Antigen Vaccine	Deep vein thrombosis	2
2	9	Hepatitis B Surface Antigen Vaccine	Anxiety	2
2	10	Hepatitis B Surface Antigen Vaccine	Emotional distress	2
3	1	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Wrong drug administered	0
3	2	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Vomiting	5
3	3	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Vomiting	5
3	4	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Drug exposure during pregnancy	0
3	5	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pain	0
3	6	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pain	0
3	7	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pulmonary embolism	0
3	8	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Deep vein thrombosis	0
3	9	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Anxiety	0
3	10	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Emotional distress	0
4	1	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Wrong drug administered	0
4	2	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Vomiting	5
4	3	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Vomiting	5
4	4	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Drug exposure during pregnancy	0
4	5	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pain	0
4	6	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pain	0
4	7	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Pulmonary embolism	0
4	8	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Deep vein thrombosis	0
4	9	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Anxiety	0
4	10	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	Emotional distress	0
5	1	L1 protein, Human papillomavirus type 6 Vaccine	Wrong drug administered	0
5	2	L1 protein, Human papillomavirus type 6 Vaccine	Vomiting	6
5	3	L1 protein, Human papillomavirus type 6 Vaccine	Vomiting	6
5	4	L1 protein, Human papillomavirus type 6 Vaccine	Drug exposure during pregnancy	0
5	5	L1 protein, Human papillomavirus type 6 Vaccine	Pain	33
5	6	L1 protein, Human papillomavirus type 6 Vaccine	Pain	33
5	7	L1 protein, Human papillomavirus type 6 Vaccine	Pulmonary embolism	22
5	8	L1 protein, Human papillomavirus type 6 Vaccine	Deep vein thrombosis	21
5	9	L1 protein, Human papillomavirus type 6 Vaccine	Anxiety	16
5	10	L1 protein, Human papillomavirus type 6 Vaccine	Emotional distress	13
