date,710062_35104067,501343_35104161,710062_35104161,
20110729,1,0,0,
20130703,1,0,0,
20140203,0,1,0,
20140822,0,1,0,
20040128,0,0,1,
20040206,0,0,1,
20041013,0,0,1,
20050120,0,0,1,
20050127,0,0,1,
20050209,0,0,1,
20050309,0,0,1,
20050630,0,0,1,
20050708,0,0,1,
20050726,0,0,1,
20050824,0,0,1,
20050907,0,0,1,
20050916,0,0,1,
20050919,0,0,1,
20051013,0,0,1,
20060406,0,0,1,
20060411,0,0,1,
20060509,0,0,2,
20060720,0,0,1,
20060901,0,0,1,
20061017,0,0,1,
20061128,0,0,1,
20070627,0,0,1,
20080818,0,0,1,
20090210,0,0,1,
20090316,0,0,1,
20090325,0,0,1,
20090326,0,0,1,
20090518,0,0,1,
20090522,0,0,2,
20090803,0,0,1,
20090921,0,0,1,
20100401,0,0,1,
20100403,0,0,1,
20100419,0,0,2,
20100420,0,0,2,
20100422,0,0,1,
20100520,0,0,1,
20100810,0,0,1,
20100930,0,0,1,
20101028,0,0,1,
20101112,0,0,1,
20101222,0,0,1,
20110127,0,0,1,
20110204,0,0,1,
20110307,0,0,1,
20110615,0,0,1,
20110620,0,0,1,
20110727,0,0,1,
20110929,0,0,1,
20111130,0,0,1,
20111223,0,0,1,
20111227,0,0,1,
20111230,0,0,2,
20120104,0,0,1,
20120130,0,0,1,
20120227,0,0,1,
20120228,0,0,1,
20120420,0,0,1,
20120423,0,0,1,
20120430,0,0,2,
20120503,0,0,1,
20120903,0,0,1,
20121105,0,0,2,
20121109,0,0,1,
20130109,0,0,1,
20130429,0,0,1,
20130603,0,0,1,
20130705,0,0,1,
20130806,0,0,1,
20130821,0,0,1,
20131004,0,0,1,
20131219,0,0,1,
20140116,0,0,1,
20140128,0,0,1,
20140218,0,0,1,
20140306,0,0,1,
20140321,0,0,1,
20140409,0,0,1,
20140516,0,0,1,
20140519,0,0,1,
20140619,0,0,1,
20140707,0,0,1,
20140708,0,0,1,
20140721,0,0,1,
20140729,0,0,1,
20140806,0,0,1,
20140828,0,0,1,
20140829,0,0,1,
20140909,0,0,1,
20140919,0,0,1,
20140926,0,0,1,
20141022,0,0,1,
20141105,0,0,1,
20150609,0,0,1,
20150803,0,0,1,
20150916,0,0,1,
